case,n,m,r,threads,version,best,average,worst
3,10,100,10,4,14,11,16,20
3,10,100,10,4,15,12,16,20
3,10,100,10,4,16,11,16,21
3,10,100,10,4,17,10,14,20
3,10,100,10,5,0,19,23,33
3,10,100,10,5,1,15,22,64
3,10,100,10,5,2,17,19,23
3,10,100,10,5,3,1507,1599,1752
3,10,100,10,5,4,1415,1501,1659
3,10,100,10,5,5,14,16,19
3,10,100,10,5,6,1476,1580,1773
3,10,100,10,5,7,17,18,21
3,10,100,10,5,8,1418,1551,1646
3,10,100,10,5,9,1521,1630,1903
3,10,100,10,5,10,1489,1569,1793
3,10,100,10,5,11,1489,1565,1808
3,10,100,10,5,12,1486,1611,1896
3,10,100,10,5,13,59,62,68
3,10,100,10,5,14,14,15,19
3,10,100,10,5,15,14,15,17
3,10,100,10,5,16,14,15,17
3,10,100,10,5,17,14,15,18
3,10,100,10,6,0,19,26,34
3,10,100,10,6,1,13,16,22
3,10,100,10,6,2,16,19,24
3,10,100,10,6,3,1504,1759,2186
3,10,100,10,6,4,1401,1678,2496
3,10,100,10,6,5,12,18,61
3,10,100,10,6,6,1431,1696,1972
3,10,100,10,6,7,14,17,20
3,10,100,10,6,8,1499,1668,1949
3,10,100,10,6,9,1496,1746,2023
3,10,100,10,6,10,1481,1640,1893
3,10,100,10,6,11,1541,1635,1804
3,10,100,10,6,12,1438,1640,1929
3,10,100,10,6,13,58,62,68
3,10,100,10,6,14,12,14,16
3,10,100,10,6,15,12,14,16
3,10,100,10,6,16,13,15,30
3,10,100,10,6,17,12,13,14
3,10,100,10,7,0,19,28,31
3,10,100,10,7,1,14,19,52
3,10,100,10,7,2,15,18,21
3,10,100,10,7,3,1618,1723,1842
3,10,100,10,7,4,1595,1683,1764
3,10,100,10,7,5,12,13,14
3,10,100,10,7,6,1669,1776,1926
3,10,100,10,7,7,14,16,19
3,10,100,10,7,8,1530,1637,1810
3,10,100,10,7,9,1573,1688,1846
3,10,100,10,7,10,1540,1645,1799
3,10,100,10,7,11,1576,1752,2175
3,10,100,10,7,12,1525,1683,1981
3,10,100,10,7,13,63,70,101
3,10,100,10,7,14,14,15,25
3,10,100,10,7,15,14,15,17
3,10,100,10,7,16,13,14,16
3,10,100,10,7,17,12,12,19
3,10,100,10,8,0,19,28,34
3,10,100,10,8,1,11,18,54
3,10,100,10,8,2,14,17,22
3,10,100,10,8,3,1779,1921,2070
3,10,100,10,8,4,1672,1912,2134
3,10,100,10,8,5,11,14,29
3,10,100,10,8,6,1712,1890,2394
3,10,100,10,8,7,14,16,19
3,10,100,10,8,8,1457,1660,1923
3,10,100,10,8,9,1380,1632,1842
3,10,100,10,8,10,1553,1621,1920
3,10,100,10,8,11,1682,1761,1853
3,10,100,10,8,12,1456,1688,1879
3,10,100,10,8,13,63,69,108
3,10,100,10,8,14,10,14,18
3,10,100,10,8,15,10,14,17
3,10,100,10,8,16,10,13,16
3,10,100,10,8,17,10,12,25
3,10,100,10,9,0,20,28,34
3,10,100,10,9,1,9,14,24
3,10,100,10,9,2,15,16,19
3,10,100,10,9,3,2414,2515,2721
3,10,100,10,9,4,2313,2472,2730
3,10,100,10,9,5,11,11,13
3,10,100,10,9,6,2381,2778,4421
3,10,100,10,9,7,11,15,24
3,10,100,10,9,8,1965,2401,3546
3,10,100,10,9,9,2144,2339,2648
3,10,100,10,9,10,1814,2148,2341
3,10,100,10,9,11,2026,2466,2737
3,10,100,10,9,12,2194,2292,2568
3,10,100,10,9,13,64,67,70
3,10,100,10,9,14,9,12,15
3,10,100,10,9,15,9,12,15
3,10,100,10,9,16,9,12,15
3,10,100,10,9,17,9,10,11
3,10,100,10,10,0,21,31,35
3,10,100,10,10,1,10,12,21
3,10,100,10,10,2,15,17,20
3,10,100,10,10,3,2212,2386,2706
3,10,100,10,10,4,2199,2300,2610
3,10,100,10,10,5,10,22,117
3,10,100,10,10,6,2187,2345,2702
3,10,100,10,10,7,11,12,15
3,10,100,10,10,8,2214,2331,2544
3,10,100,10,10,9,2216,2305,2495
3,10,100,10,10,10,2257,2296,2380
3,10,100,10,10,11,2255,2366,2710
3,10,100,10,10,12,2214,2322,2499
3,10,100,10,10,13,65,67,74
3,10,100,10,10,14,9,9,11
3,10,100,10,10,15,9,9,10
3,10,100,10,10,16,9,9,10
3,10,100,10,10,17,9,9,10
3,10,100,10,11,0,32,32,36
3,10,100,10,11,1,10,13,30
3,10,100,10,11,2,15,18,31
3,10,100,10,11,3,2078,2196,2607
3,10,100,10,11,4,2065,2231,2563
3,10,100,10,11,5,10,12,29
3,10,100,10,11,6,2086,2156,2431
3,10,100,10,11,7,10,12,16
3,10,100,10,11,8,2315,2474,3122
3,10,100,10,11,9,2331,2378,2632
3,10,100,10,11,10,2267,2443,3000
3,10,100,10,11,11,2083,2213,2593
3,10,100,10,11,12,2304,2372,2493
3,10,100,10,11,13,66,68,70
3,10,100,10,11,14,9,9,10
3,10,100,10,11,15,9,9,14
3,10,100,10,11,16,9,14,56
3,10,100,10,11,17,8,11,40
3,10,100,10,12,0,32,35,56
3,10,100,10,12,1,10,15,47
3,10,100,10,12,2,15,20,49
3,10,100,10,12,3,1981,2712,7911
3,10,100,10,12,4,1984,2153,2442
3,10,100,10,12,5,9,10,12
3,10,100,10,12,6,2037,2768,4814
3,10,100,10,12,7,11,17,31
3,10,100,10,12,8,2362,3268,6522
3,10,100,10,12,9,2377,2822,5414
3,10,100,10,12,10,2367,2810,5965
3,10,100,10,12,11,2030,2701,5426
3,10,100,10,12,12,2262,2999,5055
3,10,100,10,12,13,66,83,129
3,10,100,10,12,14,9,11,25
3,10,100,10,12,15,9,12,23
3,10,100,10,12,16,9,13,41
3,10,100,10,12,17,8,14,38
4,10,100,100,1,0,195,304,417
4,10,100,100,1,1,328,477,652
4,10,100,100,1,2,315,464,617
4,10,100,100,1,3,2630,3547,4411
4,10,100,100,1,4,2756,4319,5639
4,10,100,100,1,5,312,481,645
4,10,100,100,1,6,2747,3801,4724
4,10,100,100,1,7,329,500,682
4,10,100,100,1,8,2838,3920,5011
4,10,100,100,1,9,2869,3822,4875
4,10,100,100,1,10,2844,3820,4810
4,10,100,100,1,11,2864,3823,5086
4,10,100,100,1,12,2900,3829,5022
4,10,100,100,1,13,272,394,535
4,10,100,100,1,14,302,442,631
4,10,100,100,1,15,302,442,631
4,10,100,100,1,16,332,464,655
4,10,100,100,1,17,304,447,649
4,10,100,100,2,0,176,215,369
4,10,100,100,2,1,152,203,377
4,10,100,100,2,2,149,195,372
4,10,100,100,2,3,4302,8512,11244
4,10,100,100,2,4,4669,7605,10132
4,10,100,100,2,5,144,226,376
4,10,100,100,2,6,4039,7195,9999
4,10,100,100,2,7,134,232,368
4,10,100,100,2,8,4343,7062,9135
4,10,100,100,2,9,4524,7162,9463
4,10,100,100,2,10,5274,7484,9692
4,10,100,100,2,11,5230,7832,8745
4,10,100,100,2,12,5008,7648,9183
4,10,100,100,2,13,283,366,662
4,10,100,100,2,14,146,193,374
4,10,100,100,2,15,148,196,407
4,10,100,100,2,16,144,194,375
4,10,100,100,2,17,149,197,368
4,10,100,100,3,0,171,210,340
4,10,100,100,3,1,116,158,279
4,10,100,100,3,2,96,137,230
4,10,100,100,3,3,11691,13309,14411
4,10,100,100,3,4,10819,12139,13490
4,10,100,100,3,5,101,166,229
4,10,100,100,3,6,10129,11784,13900
4,10,100,100,3,7,114,184,249
4,10,100,100,3,8,9623,11025,12355
4,10,100,100,3,9,11174,12542,13365
4,10,100,100,3,10,10661,11673,12391
4,10,100,100,3,11,10517,12537,14097
4,10,100,100,3,12,9624,12067,13198
4,10,100,100,3,13,288,373,574
4,10,100,100,3,14,118,151,259
4,10,100,100,3,15,102,139,236
4,10,100,100,3,16,116,153,256
4,10,100,100,3,17,103,141,232
4,10,100,100,4,0,180,239,409
4,10,100,100,4,1,97,157,213
4,10,100,100,4,2,83,144,183
4,10,100,100,4,3,13104,14512,15548
4,10,100,100,4,4,11919,13155,14573
4,10,100,100,4,5,80,126,169
4,10,100,100,4,6,12375,13194,13837
4,10,100,100,4,7,93,164,236
4,10,100,100,4,8,10962,12182,14361
4,10,100,100,4,9,12554,13671,14792
4,10,100,100,4,10,11671,12750,13886
4,10,100,100,4,11,12591,13806,15509
4,10,100,100,4,12,11490,12800,14308
4,10,100,100,4,13,298,502,579
4,10,100,100,4,14,93,148,192
4,10,100,100,4,15,83,142,166
4,10,100,100,4,16,92,147,201
4,10,100,100,4,17,81,148,191
4,10,100,100,5,0,208,291,349
4,10,100,100,5,1,138,150,170
4,10,100,100,5,2,128,139,150
4,10,100,100,5,3,15886,17793,19460
4,10,100,100,5,4,14967,16477,17931
4,10,100,100,5,5,75,136,174
4,10,100,100,5,6,15491,16822,19306
4,10,100,100,5,7,141,178,340
4,10,100,100,5,8,14839,17064,18468
4,10,100,100,5,9,15971,17412,18366
4,10,100,100,5,10,15627,17385,19189
4,10,100,100,5,11,15879,17372,21169
4,10,100,100,5,12,15882,17624,21858
4,10,100,100,5,13,597,632,672
4,10,100,100,5,14,131,141,155
4,10,100,100,5,15,135,143,158
4,10,100,100,5,16,124,137,147
4,10,100,100,5,17,124,141,155
4,10,100,100,6,0,201,291,378
4,10,100,100,6,1,75,139,181
4,10,100,100,6,2,114,125,146
4,10,100,100,6,3,17789,19583,20915
4,10,100,100,6,4,15773,18957,22029
4,10,100,100,6,5,120,130,158
4,10,100,100,6,6,17126,19353,20988
4,10,100,100,6,7,141,160,225
4,10,100,100,6,8,16816,18821,19899
4,10,100,100,6,9,16588,19201,20681
4,10,100,100,6,10,16738,19175,25939
4,10,100,100,6,11,16219,18778,21002
4,10,100,100,6,12,15690,18745,20996
4,10,100,100,6,13,581,626,671
4,10,100,100,6,14,74,137,175
4,10,100,100,6,15,109,120,135
4,10,100,100,6,16,72,127,157
4,10,100,100,6,17,109,122,153
4,10,100,100,7,0,202,341,421
4,10,100,100,7,1,118,152,210
4,10,100,100,7,2,101,120,149
4,10,100,100,7,3,17072,21158,29533
4,10,100,100,7,4,16218,18806,22130
4,10,100,100,7,5,98,108,127
4,10,100,100,7,6,16293,19020,21731
4,10,100,100,7,7,122,152,193
4,10,100,100,7,8,16019,18844,24298
4,10,100,100,7,9,17277,19456,22643
4,10,100,100,7,10,17060,18886,21713
4,10,100,100,7,11,16463,18870,22802
4,10,100,100,7,12,15672,18855,23473
4,10,100,100,7,13,587,687,1032
4,10,100,100,7,14,84,146,215
4,10,100,100,7,15,98,111,140
4,10,100,100,7,16,86,126,150
4,10,100,100,7,17,93,111,138
4,10,100,100,8,0,203,281,356
4,10,100,100,8,1,72,114,139
4,10,100,100,8,2,84,98,115
4,10,100,100,8,3,17374,18934,20826
4,10,100,100,8,4,15803,17199,19710
4,10,100,100,8,5,85,94,106
4,10,100,100,8,6,16643,17989,21121
4,10,100,100,8,7,85,126,164
4,10,100,100,8,8,14507,16039,17913
4,10,100,100,8,9,17316,18209,20719
4,10,100,100,8,10,15609,16645,19386
4,10,100,100,8,11,16979,17788,18551
4,10,100,100,8,12,15671,16899,19734
4,10,100,100,8,13,608,627,646
4,10,100,100,8,14,72,121,136
4,10,100,100,8,15,88,92,105
4,10,100,100,8,16,87,117,135
4,10,100,100,8,17,83,88,92
4,10,100,100,9,0,214,308,384
4,10,100,100,9,1,73,110,142
4,10,100,100,9,2,92,96,102
4,10,100,100,9,3,23905,25222,26093
4,10,100,100,9,4,22298,24335,25963
4,10,100,100,9,5,77,86,125
4,10,100,100,9,6,23274,24878,26474
4,10,100,100,9,7,75,118,134
4,10,100,100,9,8,21436,22253,25053
4,10,100,100,9,9,23081,24321,25016
4,10,100,100,9,10,20809,22591,24795
4,10,100,100,9,11,22925,24380,25013
4,10,100,100,9,12,20117,22569,25421
4,10,100,100,9,13,621,643,667
4,10,100,100,9,14,73,107,128
4,10,100,100,9,15,77,85,100
4,10,100,100,9,16,70,103,136
4,10,100,100,9,17,80,94,136
4,10,100,100,10,0,337,355,387
4,10,100,100,10,1,73,80,89
4,10,100,100,10,2,89,102,138
4,10,100,100,10,3,23720,27504,45466
4,10,100,100,10,4,22936,26005,32200
4,10,100,100,10,5,74,79,86
4,10,100,100,10,6,23009,26064,34735
4,10,100,100,10,7,76,87,100
4,10,100,100,10,8,22897,26194,32747
4,10,100,100,10,9,22961,25427,30360
4,10,100,100,10,10,23106,25561,33017
4,10,100,100,10,11,22872,25811,31653
4,10,100,100,10,12,23163,28116,40064
4,10,100,100,10,13,647,690,742
4,10,100,100,10,14,74,89,162
4,10,100,100,10,15,74,82,106
4,10,100,100,10,16,71,83,150
4,10,100,100,10,17,73,77,84
4,10,100,100,11,0,357,373,403
4,10,100,100,11,1,79,117,158
4,10,100,100,11,2,93,117,150
4,10,100,100,11,3,26647,36012,49618
4,10,100,100,11,4,26329,37950,56460
4,10,100,100,11,5,71,88,130
4,10,100,100,11,6,23461,36833,50908
4,10,100,100,11,7,76,100,169
4,10,100,100,11,8,24572,41208,51991
4,10,100,100,11,9,26842,41166,86308
4,10,100,100,11,10,31859,48899,106643
4,10,100,100,11,11,25449,43354,63004
4,10,100,100,11,12,29411,44694,60763
4,10,100,100,11,13,709,808,1193
4,10,100,100,11,14,79,96,181
4,10,100,100,11,15,76,93,133
4,10,100,100,11,16,75,85,137
4,10,100,100,11,17,73,99,142
4,10,100,100,12,0,346,362,387
4,10,100,100,12,1,75,97,156
4,10,100,100,12,2,89,112,160
4,10,100,100,12,3,21960,33288,70086
4,10,100,100,12,4,21494,32177,73790
4,10,100,100,12,5,63,79,136
4,10,100,100,12,6,22119,31419,66206
4,10,100,100,12,7,79,87,107
4,10,100,100,12,8,24500,29749,68630
4,10,100,100,12,9,21312,30678,67361
4,10,100,100,12,10,24858,33026,87048
4,10,100,100,12,11,21310,31782,96921
4,10,100,100,12,12,24532,33024,87071
4,10,100,100,12,13,665,861,1314
4,10,100,100,12,14,74,94,181
4,10,100,100,12,15,65,92,161
4,10,100,100,12,16,71,87,136
4,10,100,100,12,17,64,90,150
5,10,100,1000,1,0,2365,2905,4936
5,10,100,1000,1,1,3582,4387,7397
5,10,100,1000,1,2,3643,4235,7106
5,10,100,1000,1,3,24446,29719,44137
5,10,100,1000,1,4,28288,33185,57620
5,10,100,1000,1,5,3648,4232,7287
5,10,100,1000,1,6,26676,29927,44106
5,10,100,1000,1,7,3759,4332,7581
5,10,100,1000,1,8,27894,30595,37412
5,10,100,1000,1,9,28187,29932,31953
5,10,100,1000,1,10,27402,30297,31644
5,10,100,1000,1,11,27889,30047,31263
5,10,100,1000,1,12,27999,30574,31694
5,10,100,1000,1,13,2879,3245,3352
5,10,100,1000,1,14,3138,3625,3751
5,10,100,1000,1,15,3270,3690,3911
5,10,100,1000,1,16,3499,3877,4243
5,10,100,1000,1,17,3033,3596,3742
5,10,100,1000,2,0,2550,3105,5232
5,10,100,1000,2,1,2009,2588,4557
5,10,100,1000,2,2,1897,2668,4309
5,10,100,1000,2,3,63373,87075,107597
5,10,100,1000,2,4,66381,85321,107524
5,10,100,1000,2,5,1796,2858,3928
5,10,100,1000,2,6,47857,80498,118804
5,10,100,1000,2,7,1724,2545,3983
5,10,100,1000,2,8,55024,82138,106726
5,10,100,1000,2,9,60246,84658,109552
5,10,100,1000,2,10,73719,87038,100170
5,10,100,1000,2,11,65613,87339,112959
5,10,100,1000,2,12,59801,82581,107118
5,10,100,1000,2,13,3160,4312,6970
5,10,100,1000,2,14,1842,2497,4073
5,10,100,1000,2,15,1838,2444,4185
5,10,100,1000,2,16,1871,2354,3831
5,10,100,1000,2,17,2036,2568,3868
5,10,100,1000,3,0,2576,3249,4904
5,10,100,1000,3,1,1518,2112,3286
5,10,100,1000,3,2,1290,1721,2798
5,10,100,1000,3,3,126023,136924,160658
5,10,100,1000,3,4,114829,133752,158319
5,10,100,1000,3,5,1123,2067,2648
5,10,100,1000,3,6,116736,133663,165189
5,10,100,1000,3,7,1356,2305,2920
5,10,100,1000,3,8,110513,126530,145420
5,10,100,1000,3,9,120538,134484,160636
5,10,100,1000,3,10,116268,128627,148814
5,10,100,1000,3,11,120577,135900,159582
5,10,100,1000,3,12,109550,125345,154771
5,10,100,1000,3,13,3345,4610,6613
5,10,100,1000,3,14,1489,1953,2789
5,10,100,1000,3,15,1260,1784,2585
5,10,100,1000,3,16,1455,1960,3006
5,10,100,1000,3,17,1306,1833,2752
5,10,100,1000,4,0,2577,3638,5322
5,10,100,1000,4,1,1168,1923,2802
5,10,100,1000,4,2,904,1535,2147
5,10,100,1000,4,3,134567,166347,220151
5,10,100,1000,4,4,122787,160655,235805
5,10,100,1000,4,5,871,1827,2224
5,10,100,1000,4,6,126314,153837,208500
5,10,100,1000,4,7,1252,2164,2806
5,10,100,1000,4,8,123658,149711,201636
5,10,100,1000,4,9,135538,164578,217416
5,10,100,1000,4,10,121063,149294,192452
5,10,100,1000,4,11,139811,169719,241371
5,10,100,1000,4,12,112372,156028,214166
5,10,100,1000,4,13,3436,5934,7525
5,10,100,1000,4,14,1144,1708,2469
5,10,100,1000,4,15,976,1689,2266
5,10,100,1000,4,16,1103,1737,2328
5,10,100,1000,4,17,958,1663,2262
5,10,100,1000,5,0,2824,3914,5211
5,10,100,1000,5,1,1143,1609,1848
5,10,100,1000,5,2,874,1549,1814
5,10,100,1000,5,3,144358,169745,192670
5,10,100,1000,5,4,138056,157151,180030
5,10,100,1000,5,5,1458,1598,1709
5,10,100,1000,5,6,139125,158777,177165
5,10,100,1000,5,7,762,1532,1862
5,10,100,1000,5,8,145183,160532,177734
5,10,100,1000,5,9,145164,161224,189864
5,10,100,1000,5,10,142717,157076,186276
5,10,100,1000,5,11,142915,158939,185518
5,10,100,1000,5,12,140228,159222,184585
5,10,100,1000,5,13,4084,6388,7293
5,10,100,1000,5,14,1460,1572,1653
5,10,100,1000,5,15,1308,1575,1697
5,10,100,1000,5,16,1327,1523,1636
5,10,100,1000,5,17,877,1530,1722
5,10,100,1000,6,0,2666,3864,5477
5,10,100,1000,6,1,814,1480,1812
5,10,100,1000,6,2,685,1253,1565
5,10,100,1000,6,3,161999,182496,211539
5,10,100,1000,6,4,143960,170412,200320
5,10,100,1000,6,5,1188,1316,1413
5,10,100,1000,6,6,146877,169597,192509
5,10,100,1000,6,7,819,1459,1647
5,10,100,1000,6,8,159981,174047,197555
5,10,100,1000,6,9,156870,176960,204497
5,10,100,1000,6,10,154102,177290,200464
5,10,100,1000,6,11,158130,178820,206323
5,10,100,1000,6,12,151560,172776,201645
5,10,100,1000,6,13,5585,6774,7626
5,10,100,1000,6,14,883,1532,1726
5,10,100,1000,6,15,722,1328,1675
5,10,100,1000,6,16,832,1499,1712
5,10,100,1000,6,17,726,1338,1544
5,10,100,1000,7,0,3010,4492,5980
5,10,100,1000,7,1,955,1740,1955
5,10,100,1000,7,2,1151,1342,1722
5,10,100,1000,7,3,172318,265970,969597
5,10,100,1000,7,4,161814,201311,395733
5,10,100,1000,7,5,1017,1179,1324
5,10,100,1000,7,6,162966,194277,267747
5,10,100,1000,7,7,1417,1653,2079
5,10,100,1000,7,8,165811,200742,309774
5,10,100,1000,7,9,167534,211233,448417
5,10,100,1000,7,10,166140,321941,1515143
5,10,100,1000,7,11,170863,300087,1292751
5,10,100,1000,7,12,160841,203570,293374
5,10,100,1000,7,13,5581,7521,10302
5,10,100,1000,7,14,899,1591,2057
5,10,100,1000,7,15,1107,1251,1399
5,10,100,1000,7,16,889,1539,1922
5,10,100,1000,7,17,1162,1269,1417
5,10,100,1000,8,0,3494,5214,5860
5,10,100,1000,8,1,1598,1758,1994
5,10,100,1000,8,2,1027,1207,2220
5,10,100,1000,8,3,178720,264624,723501
5,10,100,1000,8,4,174332,232920,448698
5,10,100,1000,8,5,965,1169,1881
5,10,100,1000,8,6,169641,218552,323606
5,10,100,1000,8,7,1394,1582,1835
5,10,100,1000,8,8,153501,206052,344305
5,10,100,1000,8,9,173287,222422,290004
5,10,100,1000,8,10,157489,195117,254235
5,10,100,1000,8,11,179122,238844,400457
5,10,100,1000,8,12,150501,208881,318689
5,10,100,1000,8,13,7100,7627,8448
5,10,100,1000,8,14,928,1567,2490
5,10,100,1000,8,15,1052,1123,1383
5,10,100,1000,8,16,953,1453,1707
5,10,100,1000,8,17,1083,1360,3485
5,10,100,1000,9,0,4839,5277,5780
5,10,100,1000,9,1,1093,1657,1854
5,10,100,1000,9,2,920,1003,1118
5,10,100,1000,9,3,253651,293656,405914
5,10,100,1000,9,4,248494,301150,456460
5,10,100,1000,9,5,880,989,1231
5,10,100,1000,9,6,250943,293615,376104
5,10,100,1000,9,7,868,1444,1664
5,10,100,1000,9,8,227846,265205,319730
5,10,100,1000,9,9,248281,292087,349983
5,10,100,1000,9,10,229393,255361,303132
5,10,100,1000,9,11,248290,292784,368723
5,10,100,1000,9,12,228850,265592,308575
5,10,100,1000,9,13,7214,7854,8725
5,10,100,1000,9,14,1500,1646,1835
5,10,100,1000,9,15,938,1013,1114
5,10,100,1000,9,16,1019,1526,1856
5,10,100,1000,9,17,947,1057,1430
5,10,100,1000,10,0,3386,5333,5859
5,10,100,1000,10,1,915,1154,1804
5,10,100,1000,10,2,814,1021,1731
5,10,100,1000,10,3,246186,323931,431406
5,10,100,1000,10,4,239677,295118,359647
5,10,100,1000,10,5,788,905,1021
5,10,100,1000,10,6,241105,307456,497087
5,10,100,1000,10,7,822,954,1106
5,10,100,1000,10,8,240762,310527,470992
5,10,100,1000,10,9,239981,378407,1261776
5,10,100,1000,10,10,239670,392780,1484961
5,10,100,1000,10,11,239065,330505,637745
5,10,100,1000,10,12,239323,278355,326385
5,10,100,1000,10,13,7290,8113,9630
5,10,100,1000,10,14,871,1004,1723
5,10,100,1000,10,15,895,1034,1669
5,10,100,1000,10,16,782,1005,1673
5,10,100,1000,10,17,861,983,1709
5,10,100,1000,11,0,5207,5428,5790
5,10,100,1000,11,1,888,1146,1946
5,10,100,1000,11,2,791,954,1504
5,10,100,1000,11,3,229140,341222,589216
5,10,100,1000,11,4,232940,508453,1848199
5,10,100,1000,11,5,749,978,1720
5,10,100,1000,11,6,240582,491883,1638239
5,10,100,1000,11,7,847,1137,2051
5,10,100,1000,11,8,254795,398184,916850
5,10,100,1000,11,9,229414,410546,858361
5,10,100,1000,11,10,251167,350771,548306
5,10,100,1000,11,11,230396,502369,2024783
5,10,100,1000,11,12,251054,530666,1714829
5,10,100,1000,11,13,7485,9248,14521
5,10,100,1000,11,14,880,1024,1667
5,10,100,1000,11,15,788,1014,1556
5,10,100,1000,11,16,824,962,1559
5,10,100,1000,11,17,832,1002,1507
5,10,100,1000,12,0,5395,5604,6001
5,10,100,1000,12,1,896,1207,2052
5,10,100,1000,12,2,741,1143,1789
5,10,100,1000,12,3,229735,488574,863754
5,10,100,1000,12,4,226753,445861,834529
5,10,100,1000,12,5,695,1030,1562
5,10,100,1000,12,6,256148,615229,1887711
5,10,100,1000,12,7,832,1249,2538
5,10,100,1000,12,8,259062,543214,2370738
5,10,100,1000,12,9,226078,479048,820115
5,10,100,1000,12,10,258839,339837,499625
5,10,100,1000,12,11,230436,366119,826913
5,10,100,1000,12,12,256611,330956,485770
5,10,100,1000,12,13,7733,11236,15177
5,10,100,1000,12,14,863,1062,1648
5,10,100,1000,12,15,751,1116,1612
5,10,100,1000,12,16,849,1110,1655
5,10,100,1000,12,17,758,1096,1510
6,10,1000,10,1,0,230,354,469
6,10,1000,10,1,1,357,543,746
6,10,1000,10,1,2,341,520,697
6,10,1000,10,1,3,2743,3808,4704
6,10,1000,10,1,4,2993,4488,6013
6,10,1000,10,1,5,339,499,696
6,10,1000,10,1,6,2959,3958,5170
6,10,1000,10,1,7,359,529,755
6,10,1000,10,1,8,2962,3836,4894
6,10,1000,10,1,9,2794,3818,4871
6,10,1000,10,1,10,2766,3844,4877
6,10,1000,10,1,11,2804,3749,4781
6,10,1000,10,1,12,3009,4011,5208
6,10,1000,10,1,13,149,211,291
6,10,1000,10,1,14,155,216,301
6,10,1000,10,1,15,155,219,304
6,10,1000,10,1,16,162,223,306
6,10,1000,10,1,17,154,218,303
6,10,1000,10,2,0,182,248,396
6,10,1000,10,2,1,168,241,407
6,10,1000,10,2,2,223,301,433
6,10,1000,10,2,3,4357,8918,11455
6,10,1000,10,2,4,4824,8363,9989
6,10,1000,10,2,5,162,197,334
6,10,1000,10,2,6,7842,9383,10439
6,10,1000,10,2,7,154,192,314
6,10,1000,10,2,8,4340,8014,9091
6,10,1000,10,2,9,4626,8797,9733
6,10,1000,10,2,10,4876,8111,8940
6,10,1000,10,2,11,4890,7901,8918
6,10,1000,10,2,12,4253,7369,8793
6,10,1000,10,2,13,144,190,297
6,10,1000,10,2,14,76,98,155
6,10,1000,10,2,15,75,98,164
6,10,1000,10,2,16,74,97,149
6,10,1000,10,2,17,75,100,148
6,10,1000,10,3,0,195,305,441
6,10,1000,10,3,1,125,225,298
6,10,1000,10,3,2,151,239,289
6,10,1000,10,3,3,13250,16620,18555
6,10,1000,10,3,4,12688,15305,18352
6,10,1000,10,3,5,116,177,264
6,10,1000,10,3,6,12397,16154,20399
6,10,1000,10,3,7,133,264,326
6,10,1000,10,3,8,11473,14354,18032
6,10,1000,10,3,9,11225,14644,16974
6,10,1000,10,3,10,11357,14427,17137
6,10,1000,10,3,11,13348,15971,18377
6,10,1000,10,3,12,11950,14738,17402
6,10,1000,10,3,13,157,274,311
6,10,1000,10,3,14,62,100,124
6,10,1000,10,3,15,74,106,137
6,10,1000,10,3,16,63,99,135
6,10,1000,10,3,17,57,98,119
6,10,1000,10,4,0,217,301,468
6,10,1000,10,4,1,133,188,231
6,10,1000,10,4,2,171,222,256
6,10,1000,10,4,3,16674,18041,19593
6,10,1000,10,4,4,14915,16925,19116
6,10,1000,10,4,5,108,172,222
6,10,1000,10,4,6,14103,17187,19108
6,10,1000,10,4,7,132,199,260
6,10,1000,10,4,8,14319,16124,17056
6,10,1000,10,4,9,15081,16603,18323
6,10,1000,10,4,10,14377,16145,18883
6,10,1000,10,4,11,16813,17478,18501
6,10,1000,10,4,12,14864,16011,17633
6,10,1000,10,4,13,200,283,336
6,10,1000,10,4,14,62,85,98
6,10,1000,10,4,15,61,85,104
6,10,1000,10,4,16,63,89,101
6,10,1000,10,4,17,53,78,101
6,10,1000,10,5,0,238,335,432
6,10,1000,10,5,1,142,161,195
6,10,1000,10,5,2,193,228,275
6,10,1000,10,5,3,16820,18623,20640
6,10,1000,10,5,4,16030,17943,20051
6,10,1000,10,5,5,88,148,183
6,10,1000,10,5,6,16885,18493,19725
6,10,1000,10,5,7,148,165,195
6,10,1000,10,5,8,16077,18144,19893
6,10,1000,10,5,9,16761,19029,20848
6,10,1000,10,5,10,16640,18092,19686
6,10,1000,10,5,11,17256,18462,20460
6,10,1000,10,5,12,16225,18143,22253
6,10,1000,10,5,13,285,309,344
6,10,1000,10,5,14,60,66,77
6,10,1000,10,5,15,59,64,72
6,10,1000,10,5,16,60,71,126
6,10,1000,10,5,17,60,64,74
6,10,1000,10,6,0,239,335,401
6,10,1000,10,6,1,139,152,182
6,10,1000,10,6,2,154,203,247
6,10,1000,10,6,3,15681,18170,21946
6,10,1000,10,6,4,14410,16668,20506
6,10,1000,10,6,5,111,129,144
6,10,1000,10,6,6,15687,17336,18115
6,10,1000,10,6,7,131,148,178
6,10,1000,10,6,8,15110,16452,17909
6,10,1000,10,6,9,15669,17030,18005
6,10,1000,10,6,10,15303,16543,17983
6,10,1000,10,6,11,15529,17078,19098
6,10,1000,10,6,12,16023,17031,18299
6,10,1000,10,6,13,268,306,351
6,10,1000,10,6,14,55,63,84
6,10,1000,10,6,15,56,62,68
6,10,1000,10,6,16,56,62,77
6,10,1000,10,6,17,49,55,69
6,10,1000,10,7,0,217,307,400
6,10,1000,10,7,1,97,139,159
