case,n,m,r,threads,version,best,average,worst
0,10,10,10,9,10,207,224,244
0,10,10,10,9,11,209,229,245
0,10,10,10,9,12,214,218,233
0,10,10,10,9,13,41,42,45
0,10,10,10,9,14,5,6,9
0,10,10,10,9,15,6,7,11
0,10,10,10,9,16,25,26,29
0,10,10,10,9,17,6,7,8
0,10,10,10,10,0,3,3,3
0,10,10,10,10,1,2,25,226
0,10,10,10,10,2,3,3,8
0,10,10,10,10,3,207,220,247
0,10,10,10,10,4,204,218,256
0,10,10,10,10,5,2,2,3
0,10,10,10,10,6,212,220,236
0,10,10,10,10,7,3,3,5
0,10,10,10,10,8,208,220,236
0,10,10,10,10,9,215,257,573
0,10,10,10,10,10,230,242,273
0,10,10,10,10,11,213,226,267
0,10,10,10,10,12,208,214,224
0,10,10,10,10,13,41,43,57
0,10,10,10,10,14,5,6,7
0,10,10,10,10,15,6,6,6
0,10,10,10,10,16,25,27,35
0,10,10,10,10,17,6,6,8
0,10,10,10,11,0,3,3,4
0,10,10,10,11,1,2,24,215
0,10,10,10,11,2,3,3,3
0,10,10,10,11,3,219,223,239
0,10,10,10,11,4,197,211,326
0,10,10,10,11,5,2,2,3
0,10,10,10,11,6,199,201,207
0,10,10,10,11,7,3,3,4
0,10,10,10,11,8,223,298,931
0,10,10,10,11,9,226,287,520
0,10,10,10,11,10,236,288,614
0,10,10,10,11,11,173,201,215
0,10,10,10,11,12,219,223,229
0,10,10,10,11,13,41,43,48
0,10,10,10,11,14,6,7,14
0,10,10,10,11,15,6,6,7
0,10,10,10,11,16,28,29,32
0,10,10,10,11,17,6,6,10
0,10,10,10,12,0,3,3,3
0,10,10,10,12,1,2,24,215
0,10,10,10,12,2,3,3,7
0,10,10,10,12,3,226,230,249
0,10,10,10,12,4,186,203,273
0,10,10,10,12,5,2,2,3
0,10,10,10,12,6,188,203,269
0,10,10,10,12,7,3,4,12
0,10,10,10,12,8,226,237,300
0,10,10,10,12,9,227,232,264
0,10,10,10,12,10,224,228,243
0,10,10,10,12,11,190,198,227
0,10,10,10,12,12,223,253,487
0,10,10,10,12,13,42,46,74
0,10,10,10,12,14,5,6,14
0,10,10,10,12,15,6,6,7
0,10,10,10,12,16,6,6,7
0,10,10,10,12,17,5,5,7
1,10,10,100,1,0,36,37,38
1,10,10,100,1,1,47,49,51
1,10,10,100,1,2,45,47,52
1,10,10,100,1,3,356,378,401
1,10,10,100,1,4,439,459,475
1,10,10,100,1,5,54,56,60
1,10,10,100,1,6,381,396,422
1,10,10,100,1,7,54,54,58
1,10,10,100,1,8,655,677,727
1,10,10,100,1,9,645,668,690
1,10,10,100,1,10,655,667,690
1,10,10,100,1,11,585,598,620
1,10,10,100,1,12,391,401,418
1,10,10,100,1,13,251,256,266
1,10,10,100,1,14,294,324,351
1,10,10,100,1,15,301,324,341
1,10,10,100,1,16,326,345,356
1,10,10,100,1,17,300,324,364
1,10,10,100,2,0,37,38,42
1,10,10,100,2,1,26,30,43
1,10,10,100,2,2,25,27,37
1,10,10,100,2,3,543,1405,1564
1,10,10,100,2,4,506,1290,1525
1,10,10,100,2,5,29,32,42
1,10,10,100,2,6,492,1208,1423
1,10,10,100,2,7,30,32,40
1,10,10,100,2,8,555,726,799
1,10,10,100,2,9,561,733,822
1,10,10,100,2,10,564,782,911
1,10,10,100,2,11,562,816,938
1,10,10,100,2,12,485,1234,1513
1,10,10,100,2,13,312,344,447
1,10,10,100,2,14,185,203,272
1,10,10,100,2,15,185,204,276
1,10,10,100,2,16,160,193,265
1,10,10,100,2,17,183,205,273
1,10,10,100,3,0,21,29,43
1,10,10,100,3,1,12,22,34
1,10,10,100,3,2,11,19,26
1,10,10,100,3,3,1256,1366,1615
1,10,10,100,3,4,1214,1371,1678
1,10,10,100,3,5,12,22,28
1,10,10,100,3,6,1221,1359,1503
1,10,10,100,3,7,13,23,33
1,10,10,100,3,8,1073,1222,1327
1,10,10,100,3,9,1128,1295,1512
1,10,10,100,3,10,1120,1230,1356
1,10,10,100,3,11,1179,1308,1406
1,10,10,100,3,12,1091,1279,1399
1,10,10,100,3,13,186,322,402
1,10,10,100,3,14,77,135,187
1,10,10,100,3,15,67,131,172
1,10,10,100,3,16,77,130,178
1,10,10,100,3,17,66,131,186
1,10,10,100,4,0,34,39,64
1,10,10,100,4,1,18,20,28
1,10,10,100,4,2,16,16,18
1,10,10,100,4,3,1161,4018,26683
1,10,10,100,4,4,1306,2321,7496
1,10,10,100,4,5,13,20,43
1,10,10,100,4,6,1263,1575,2065
1,10,10,100,4,7,19,23,40
1,10,10,100,4,8,1195,1395,1787
1,10,10,100,4,9,1373,1804,4122
1,10,10,100,4,10,1170,1401,2223
1,10,10,100,4,11,1351,1646,2849
1,10,10,100,4,12,1164,1411,1941
1,10,10,100,4,13,322,374,476
1,10,10,100,4,14,119,134,182
1,10,10,100,4,15,99,126,218
1,10,10,100,4,16,102,139,239
1,10,10,100,4,17,92,119,182
1,10,10,100,5,0,24,35,48
1,10,10,100,5,1,14,20,40
1,10,10,100,5,2,14,27,64
1,10,10,100,5,3,1570,3367,8405
1,10,10,100,5,4,1388,2547,8269
1,10,10,100,5,5,13,18,35
1,10,10,100,5,6,1412,2163,5693
1,10,10,100,5,7,16,20,30
1,10,10,100,5,8,1466,2190,4404
1,10,10,100,5,9,1467,2290,5133
1,10,10,100,5,10,1452,2548,8091
1,10,10,100,5,11,1453,1965,3371
1,10,10,100,5,12,1424,2954,12103
1,10,10,100,5,13,361,462,1051
1,10,10,100,5,14,89,119,234
1,10,10,100,5,15,89,108,198
1,10,10,100,5,16,85,107,193
1,10,10,100,5,17,89,111,239
1,10,10,100,6,0,22,28,37
1,10,10,100,6,1,8,12,19
1,10,10,100,6,2,9,13,29
1,10,10,100,6,3,1656,1758,1899
1,10,10,100,6,4,1470,1575,1686
1,10,10,100,6,5,7,13,15
1,10,10,100,6,6,1486,1794,3168
1,10,10,100,6,7,8,13,18
1,10,10,100,6,8,1563,1662,1753
1,10,10,100,6,9,1580,1672,1793
1,10,10,100,6,10,1558,1642,1765
1,10,10,100,6,11,1582,1645,1695
1,10,10,100,6,12,1517,1630,1732
1,10,10,100,6,13,205,355,396
1,10,10,100,6,14,43,74,90
1,10,10,100,6,15,39,72,78
1,10,10,100,6,16,42,71,87
1,10,10,100,6,17,54,73,79
1,10,10,100,7,0,23,33,38
1,10,10,100,7,1,12,18,54
1,10,10,100,7,2,11,11,12
1,10,10,100,7,3,1559,1712,1855
1,10,10,100,7,4,1520,1641,1759
1,10,10,100,7,5,11,11,13
1,10,10,100,7,6,1520,1641,1728
1,10,10,100,7,7,13,15,18
1,10,10,100,7,8,1468,1609,1791
1,10,10,100,7,9,1539,1658,1736
1,10,10,100,7,10,1427,1558,1691
1,10,10,100,7,11,1583,1683,2030
1,10,10,100,7,12,1398,1607,1723
1,10,10,100,7,13,362,377,388
1,10,10,100,7,14,76,87,93
1,10,10,100,7,15,64,67,70
1,10,10,100,7,16,72,82,90
1,10,10,100,7,17,61,66,82
1,10,10,100,8,0,22,34,38
1,10,10,100,8,1,12,13,20
1,10,10,100,8,2,10,12,27
1,10,10,100,8,3,1487,1649,1874
1,10,10,100,8,4,1495,1642,1807
1,10,10,100,8,5,9,10,12
1,10,10,100,8,6,1570,1661,1780
1,10,10,100,8,7,13,14,16
1,10,10,100,8,8,1432,1493,1582
1,10,10,100,8,9,1618,1703,1884
1,10,10,100,8,10,1422,1505,1703
1,10,10,100,8,11,1631,1722,1900
